Ranking,Player,Team,Salary
144,Spencer Hawes,Charlotte Hornets,"$6,348,759"
145,Marco Belinelli,Charlotte Hornets,"$6,333,333"
146,Jae Crowder,Boston Celtics,"$6,286,408"
147,Lance Thomas,New York Knicks,"$6,191,000"
148,Matt Barnes,Sacramento Kings,"$6,125,000"
149,Andrew Nicholson,Washington Wizards,"$6,088,993"
150,Patrick Patterson,Toronto Raptors,"$6,050,000"
151,Andrew Wiggins,Minnesota Timberwolves,"$6,006,600"
152,Ramon Sessions,Charlotte Hornets,"$6,000,000"
153,Ish Smith,Detroit Pistons,"$6,000,000"
154,Alex Abrines,Oklahoma City Thunder,"$5,994,764"
155,Karl-Anthony Towns,Minnesota Timberwolves,"$5,960,160"
156,Ben Simmons,Philadelphia 76ers,"$5,903,160"
157,Otto Porter Jr.,Washington Wizards,"$5,893,981"
158,Wayne Ellington,Miami Heat,"$5,867,971"
159,Shaun Livingston,Golden State Warriors,"$5,782,450"
160,Josh McRoberts,Miami Heat,"$5,782,450"
161,Nikola Mirotic,Chicago Bulls,"$5,782,450"
162,Brandan Wright,Memphis Grizzlies,"$5,709,880"
163,Jared Sullinger,Toronto Raptors,"$5,628,000"
164,Tyler Johnson,Miami Heat,"$5,628,000"
165,Wesley Johnson,LA Clippers,"$5,628,000"
166,Tony Allen,Memphis Grizzlies,"$5,505,618"
167,Luis Scola,Brooklyn Nets,"$5,500,000"
168,Nick Young,Los Angeles Lakers,"$5,443,918"
169,Jabari Parker,Milwaukee Bucks,"$5,374,320"
170,D'Angelo Russell,Los Angeles Lakers,"$5,332,800"
171,Cody Zeller,Charlotte Hornets,"$5,318,313"
172,P.J. Tucker,Phoenix Suns,"$5,300,000"
173,Kyle Korver,Atlanta Hawks,"$5,239,437"
174,Darren Collison,Sacramento Kings,"$5,229,454"
175,Langston Galloway,New Orleans Pelicans,"$5,200,000"
176,Jason Smith,Washington Wizards,"$5,000,000"
177,Roy Hibbert,Charlotte Hornets,"$5,000,000"
178,C.J. Watson,Orlando Magic,"$5,000,000"
179,Brandon Jennings,New York Knicks,"$5,000,000"
180,Jonas Jerebko,Boston Celtics,"$5,000,000"
181,Kyle Singler,Oklahoma City Thunder,"$4,837,500"
182,Mike Dunleavy,Cleveland Cavaliers,"$4,837,500"
183,Joel Embiid,Philadelphia 76ers,"$4,826,160"
184,Alex Len,Phoenix Suns,"$4,823,621"
185,Jahlil Okafor,Philadelphia 76ers,"$4,788,840"
186,Jaylen Brown,Boston Celtics,"$4,743,000"
187,Alexis Ajinca,New Orleans Pelicans,"$4,638,203"
188,Marcus Morris,Detroit Pistons,"$4,625,000"
189,Derrick Williams,Miami Heat,"$4,598,000"
190,C.J. Miles,Indiana Pacers,"$4,583,450"
191,Jameer Nelson,Denver Nuggets,"$4,540,525"
192,Nerlens Noel,Philadelphia 76ers,"$4,384,490"
193,Aaron Gordon,Orlando Magic,"$4,351,320"
194,Greivis Vasquez,Brooklyn Nets,"$4,347,826"
195,Kristaps Porzingis,New York Knicks,"$4,317,720"
196,Dragan Bender,Phoenix Suns,"$4,276,320"
197,Vince Carter,Memphis Grizzlies,"$4,264,057"
198,Devin Harris,Dallas Mavericks,"$4,227,996"
199,J.J. Barea,Dallas Mavericks,"$4,096,950"
200,Ben McLemore,Sacramento Kings,"$4,008,882"
201,James Johnson,Miami Heat,"$4,000,000"
202,Udonis Haslem,Miami Heat,"$4,000,000"
203,Leandro Barbosa,Phoenix Suns,"$4,000,000"
204,Kris Humphries,Atlanta Hawks,"$4,000,000"
205,Dante Exum,Utah Jazz,"$3,940,320"
206,Kyle O'Quinn,New York Knicks,"$3,918,750"
207,Mario Hezonja,Orlando Magic,"$3,909,840"
208,Kris Dunn,Minnesota Timberwolves,"$3,872,520"
209,Thabo Sefolosha,Atlanta Hawks,"$3,850,000"
210,Nemanja Bjelica,Minnesota Timberwolves,"$3,800,000"
211,Nick Collison,Oklahoma City Thunder,"$3,750,000"
212,Kentavious Caldwell-Pope,Detroit Pistons,"$3,678,319"
213,Quincy Pondexter,New Orleans Pelicans,"$3,617,978"
214,Patty Mills,San Antonio Spurs,"$3,578,948"
215,Marcus Smart,Boston Celtics,"$3,578,880"
216,Bojan Bogdanovic,Brooklyn Nets,"$3,573,020"
217,Willie Cauley-Stein,Sacramento Kings,"$3,551,160"
218,Drew Gooden,Washington Wizards,"$3,547,000"
219,Will Barton,Denver Nuggets,"$3,533,333"
220,Paul Pierce,LA Clippers,"$3,527,920"
221,Buddy Hield,New Orleans Pelicans,"$3,517,200"
222,Brandon Rush,Minnesota Timberwolves,"$3,500,000"
223,Mike Miller,Denver Nuggets,"$3,500,000"
